题库,试题,参考答案
销售-录音-印刷制版或翻译印刷一条龙,"为什么6P不能做骑马订，请阐述原因

要求：
1）要点尽量仔细，不遗漏，方便之后的口述练习
2）每个要点文字精简，几个字即可，能起到口述时提醒自己的作用即可
","必须4的倍数才能骑马钉装订
6P只能做成折页
6P是3折页,印刷后成品和样本样子是一样的"
销售-录音-印刷制版或翻译印刷一条龙,"客户只需要印刷300份时，但考虑到300份时的单价较高，如何给客户建议不同份数的阶梯报价的方案

要求：
1）要点尽量仔细，不遗漏，方便之后的口述练习
2）每个要点文字精简，几个字即可，能起到口述时提醒自己的作用即可

","印刷份数越多单价越便宜
500和1000份印刷总价相关不了多少,单价相差很多
建议给客户提供300/500/1000份阶梯报价"
销售-录音-印刷制版或翻译印刷一条龙,"如何向客户说明为什么样本的封面建议覆膜

要求：
1）要点尽量仔细，不遗漏，方便之后的口述练习
2）每个要点文字精简，几个字即可，能起到口述时提醒自己的作用即可
","常规情况下样本的封面封底会做单面覆膜,折页是正反面覆膜
防止擦色,防止爆边"
销售-录音-印刷制版或翻译印刷一条龙,"收到客户印刷需求和PDF文件后，在与客户进一步沟通时，需要了解哪些信息？

要求：
1）要点尽量仔细，不遗漏，方便之后的口述练习
2）每个要点文字精简，几个字即可，能起到口述时提醒自己的作用即可
","规格
纸张
颜色
页数
装订
后道
份数

以及以前的操作经验,对手有无,特殊要求和客户的看重点,本次的预算和决策流程,期望完成的日期"
销售-印刷-FAQ,客户要设计源文件怎么处理？,"1、询问需要源文件的原因
2、向客户推荐印刷服务，争取印刷定单（申请源文件的必要条件）
3、在合同明细里面，点击“申请制版软件给客户” ，进行系统申请，总经理批复后可发送给客户源文件
4、若客户最终是印刷用，但又不找我们，视情况对源文件进行处理"
销售-印刷-FAQ,印刷品交货到展会现场，我们需要注意哪些事项？,一般展馆很大，同时进场馆手续会比较复杂，我们需要事先与客户沟通好送货时间、地点和接货人，最好可以送货至易于签收的地点
销售-印刷-FAQ,当客户需要翻译、制作、印刷一体服务，我们完成翻译开始制版工作前，我们应提醒客户什么？,"1、请客户必务先确认翻译稿的WORD版文件
2、WORD文件可以便于修改，相同词汇的查找替换
3、有些客户不了解流程，没有确认翻译内容就制版，后期有些共性的内容修改，在制版软件中很难查找替换全，容易漏改"
销售-印刷-FAQ,介绍印刷业务的4个成功案例,"(1) 英国最知名的蒸汽专家斯派莎克公司和我们合作已有15年了，他们公司所有的笔记本、产品样本、公司样本、员工手册、操作表单等都是由我们提供印刷的。我们已累计为他们印刷了超过五十万册的资料。
(2) 巴斯夫和拜耳公司每年都会参加China Plus化工行业展览会，在展览会期间所使用的各类公司样本都是由我们提供印刷服务的，而且有很多的样本都是国外过来的，我们提供的是翻译、印刷一体化的服务。
(3) 英国、澳大利亚、瑞士等外国领事馆招商引资、投资指南项目也都是由我们提供从翻译到印刷一体化服务的。
(4) 富士电机公司产品样本、笔记本印刷"
销售-印刷-FAQ,"我们提供翻译印刷一体化服务,如何让客户省时、省心、省力","1）省时，翻译、图像和制版同步
2）省心，避免供应商推诿问题
3）省力，全程一名客户代表全程跟进"
销售-印刷-FAQ,翻译印刷一体化服务的主要优势,"1）擅长各类资料印刷，包括样本，单片，包装盒，甚至礼品上的丝网印刷或激光雕刻
2）提供翻译、制作、印刷一体化服务，快，省心省力，成本也控制的好
3）强大的印前制作能力，国内外常用的各类制版设计软件基本都行
4）经验丰富，客户群多，成功案例多"
销售-印刷-报价,样本内容完全一样，但尺寸不一样的制版，我们需要重新收费吗？,"1、常规情况下，尺寸不一样需要重新收费
2、和客户需要说明，因为是制版文件，尺寸不一样是需要重新制作的
3、如果客户比较计较，或者有供应商，可以请制作部的同事看一下，若可以等比缩放的，第2份可以申请减免一些费用。"
销售-印刷-报价,遇到非常规项目的设计印刷报价时，我们可以如何推进？,"1、找到一本合适的样本，做为范本
2、找到相应合适的供应商，请供应商报价
3、至少找3家供应商，若价格差不多的情况，说明基本准确；若差距很大要找到原因（以防我们自己报价不准）
4、一般供应商价格（供应商包含运费的开票价）*2的价格，是我们报给客户的标准价"
销售-印刷-商机跟进,客户有印刷需求时，希望我方提供方案和报价时，我们如何跟进？,"1、多介绍我司的优势，案例，我们能提供高品质有创意的印刷品的介绍，发送直观的视频、照片，企业微信营销案例等
2、一定不报价，先提供简单的方案，图片、文字信息不能太详细，防止客户拿着我们的方案去比价
3、了解客户的预算 ，决策流程，需要完成的时间
4、若客户的预算和需要的方案价格相差很远，同时客户不是很关注品质时，只选择低价供应商，我们要考虑可能不是目标客户，避免花费太长时间
5、项目总价高时，我们要组合拜访，并带好印刷样品
6、与客户沟通时，让客户多说，了解客户的要求、痛点、需求的特殊性/重要性，有针对性给客户解决方案

总之商机7问要搞清"
销售-印刷-商机跟进,台历笔记本套盒商机跟进，如果跟进？,"1、样例：询问客户要往年的样式图片或实物
2、过去：之前是如何解决的，过去的价格
3、特殊性：此次希望在哪方面提升
4、时间预算：此次希望完成时间和预算
5、决策流程：决策人，影响人，使用人
6、设计：是否需要重新设计，是否有特别要求
7、报价要素：了解报价基本需求，份数，样式尺寸，材质，彩页，P数，特殊工艺

总之商机7问要搞清"
销售-印刷-商机跟进,客户需要电子类礼品定制，我们需要了解哪些信息，再开始着手寻找合适的产品？,"1、客户需要电子产品的方向
2、制作数量
3、礼品使用时间
4、产品上是否打印或印刷，几个颜色，印什么内容
5、是否有运费
6、发票类型，税额
7、过去
总之商机7问要搞清"
销售-印刷-商机跟进,当我们收到客户赠送的笔记本，我们可以做什么开发，具体可以做哪些？,"收到客户赠送的笔记本，说明客户有笔记本印刷需要
1）找到负责笔记本印刷的部门
2）找到关键负责人
3）了解现有供应商情况，价格等
4）一般什么时候可以做
5）印刷量
6）发送我们的笔记本印刷案例，给客户提供更好，更新颖的方案（要能在方案上有更好的优势去吸引客户的）"
销售-印刷-商机跟进,当印刷客户嫌价格贵，除了降价外，我们还可以如何推进？,"1、可以通过改变印刷规格，来降低价格：
1）纸张：艺术纸改为普通亚粉纸、铜版纸；减少纸张克重；
2）页数：减少页数，空白页，或比较空的页面进行合并；
3）变更工艺：减少局部UV，例如每页的都有的情况，改为封面局部UV。为了保证质量，封面覆膜工艺不可减少

2、提升性价比
例如几百份的变成1000份，单价下来很多，总价差不多"
销售-印刷-商机跟进,从无到有的三折页设计工作，我们需要注意哪些事项？,"1、请客户提供之前的样例给我们参考
2、提供我们做过的3折页给客户参考
3、一定先把风格确定，再做1-2页给客户确认后，再继续设计下去
4、设计时需要特别注意三折页跨页内容，和折进去的内容，一定和客户确认好"
销售-印刷-商机跟进,客户设计合同因为无法知道确切页数，所以一直无法确认，我们怎么推进？,"1）请客户估算大概需要的页数
2）根据估算的页数先签合同
3）最终费用按实际涉及页数多退少补"
销售-印刷-商机跟进,"当客户询问印刷报价,我们问哪些问题,可以问清商机7问并报价?","(1) 具体是什么资料
(2) 能否提供电子版本文件，或是以前印刷过的样本
(3) 报价要素：规格、纸张、颜色、装订、数量、是否覆膜、有何其他后道加工要求
(4) 该印刷品的应用场合
(5) 印刷希望完成的时间
(6) 以前是否有其他供应商印刷过，国内还是国外，大概价格如何
(7) 对以前供应商的评价，优劣
(8) 此次预算
(9) 除了这份印刷品之外，该公司以前是否也有过其他的印刷需求，具体印过什么，印量
(10) 我会根据您的具体要求，回去帮您详细核算报价，并尽快给您"
销售-印刷-商机跟进,印刷服务从报价到最后付款的整个流程（包括ERP操作），按先后顺序,"登记采购需求
采购报价
跟盯客户达成合同签单
ERP中输入合同
生产部制版
给客户PDF文件确认
数码打样
与客户确认打样稿
大货印刷
供应商交货至公司
销售验货
销售发货
客户当场签收
开票付款"
销售-印刷-商机跟进,设计合同签约前，客户不放心设计质量，我们如何说服客户,"1)找对真正的核心决策人，问清楚他到底是怎么想的
2)签单前先拿下单子，签单后问他要之前做过的样本和资料。如果客户没有，我们就提供几种样本给他参考，我们做过的大的公司的，漂亮的样本给他看，不管是你设计的还是展览会上拿回来的，一定要是漂亮的。
3)设计时，不应该从头做到尾，先设计封面，内页设计1-2P，风格尽量copy。设计师眼光一定要锐利。设计的样本要看得多，要发现细节上的不同。
4)客户要求设计几个风格看看，只需提供一到两个版本给他看就行了。必要时带客户来公司与设计师沟通，销售服务要到位，设计师提供图册给客户参考。让客户了解设计本来就是头疼的，目的是快点让客户选定下来。
5)另外，印刷之前一定要签样，确定职责。"
销售-质量控制,笔译的出稿检查，需要检查哪些细节？,"1 对照词汇单，尤其客户改过的词汇是否都改了
2 外译中，是否存在翻译语句不通顺
3、是否有漏译
4、公司名，品牌品是否准确
5、文件的排版格式是否基本准确
6、下稿时的要求，例如去底色，对照交稿，是否做到"
销售-质量控制,客户制版的出稿检查，需要检查哪些细节？,"1、制版完成稿和原稿对比，格式是否准确
2、客户提出的特殊要求，是否有完成
3、特别注意客户公司Logo是否准确，图片、表格是否清晰
4、尤其是封面和封底的文字，地址电话，公司名称，样本名称，客户logo等信息的准确
5、图片、色条、色块、线条若有跨页，需注意不要有断裂错位"
销售-质量控制,之前有质量投诉的客户再次有合同时，我们在ERP下单的过程中，需要如何提醒翻译部引起重视？,"1、流程单上注明上次不满意的编号，客户不满意的点有哪些
2、电话交待译助，引起重视
3、出稿检查时，自己要看对生产部提出的这些要求是否已满足，询问生产部译助，是否有把握"
销售-质量控制,客户对翻译质量不满意，我们该如何处理？,"1、电话了解客户不满意原因
2、客户具体不满意是语句还词汇
3、询问客户是否有1、2页的修改反馈，或相关参考稿，可以给我们参考
4、系统建投诉退改，上传电话录音，便于翻译了解客户具体要求
5、若遇到中译英客户不满意的，客户反馈又无法完整传达的情况，可以拉群或与客户约时间让翻译电话沟通"
销售-质量控制,当客户要我们翻译视频资料，但只提供视频资料的文字脚本，我们该如何操作，避免翻译质量不满意？,"1、请客户提供文字角本对应的视频
2、下稿时，视频做为参考稿提供给译员
3、ERP合同对内要求里写清楚：
1）视频角本翻译，视频在参考中，请翻译时看视频便于理解
2）视频角本请注意语句，调整请句前后顺序，通顺且符合中文阅读习惯"
销售-质量控制,"为了提升翻译质量,我们可以请客户提供哪些类型的参考稿","客户公司印刷成册的样本
客户的专业词汇清单
之前译稿的客户修改定稿文件"
销售-质量控制,"我们如何向客户介绍，笔译质量控制优势
要求：
1）要点尽量仔细，不遗漏，方便之后的口述练习
2）每个要点文字精简，几个字即可，能起到口述时提醒自己的作用即可","1）计算机预处理和AI质检
2）AI派件
3）质量排名
4) 译、校、审三轮标准环节控制
5) 与其他小规模公司比较,我们质量可靠"
销售-质量控制,收到客户反馈，说翻译的质量有问题，需要退改，我们接下来打过去电话，在电话中应该如何说,"1）那这样，我这边也不好意思，现在我这边也马上安排我们翻译去退改一下。因为我看了一下这份东西，包括邮件上面列出的几个问题。那我大致也知道了一下你的期望是怎么样子的。我们跟你们公司合作了那么长时间了。也是有固定的译员在做的。这份稿子出了问题，有可能这份稿子的专业和以前不太一样，我们译助安排译员的时候还是安排原来的那些固定的翻译，没有根据稿件专业不同更换，所以出现了些这个问题。我马上会根据您这份稿件的专业再找更对口、更资深的翻译，再从头到尾仔细校对，再提交给您。

2）有可能我们译助安排的翻译出现了偏差，没关系，我们都是由ERP系统管理的，所有流程系统里都有记录的，我马上去查一下，如果确实不是固定译员翻译的，我让他们马上安排原来给您做的固定译员对全文仔细重新校对。尽快再提交给你

3）我会让翻译马上把专业词汇清单列出来，到时候会给你一个中英对照版。会把我们的翻法和原文的翻法都列在上面。那麻烦您那边不妥的地方再指正一下，我们再进行全文修改。这个词汇清单我们自己也会做个备案。以后的话专业词汇方面就不会有什么问题了。

4）那可能是我这边工作没有做好，我应该多到您这边，过来主动沟通一下。上次我看到您桌子上还有些其他的参考文件，您上次说要给到我的，我也没主动过来取一下。是不是这些参考文件，我可以过来取一下，还是您邮件发给我，也是可以的。

5）谢谢您刚刚跟我沟通那么多，那您这边要求，我这里也基本上清晰了，希望我们做到什么程度我也了解了。那我之后会马上安排我们公司资深的和您公司合作的翻译人员去从头到尾过一遍，然后改完之后呢，麻烦您这里过目一下。如果有做的偏颇的地方，可以随时和我这边沟通和联络。如果您方便的话，我们也可以随时到您公司来多走动一下。那多了解，我们的质量也会做的更好。"
