客户触发,我方回复
我是迅达电梯丁水多 你好，何经理 我是迅达电梯深圳分公司的销售 我们总部徐经理推你微信给我的 我朋友明天上来上海想要找个翻译，不知道你有没有时间,不好意思呀 休年假中 不在国内 有时差 回复晚啦
费用你们会不会出详单？ 一开始报价只是邮件，结算财务可能要张单，最好有你们章那种 是广州抬头,好的，那我出个盖章报价单，和发票一起发哈
?David，这边我同事有个俄文翻译的需求 麻烦帮忙follow一下,收到 我看下 14474*0.55=7961元 我可以做到75折 5970元 含税价 专票 6个点 6个工作日 中译俄小语种基本到底了 单价高 所以我直接做了 75折 我至少需要走个邮件流程哦 给我个邮箱 我发个报价哈 或者文件发我 我来回复 market2@speed-asia.com 我的邮箱
刘经理可以先整理一下篇幅需求，让供应商先行进行报价,您现在是大概什么资料 那文件是有了吗 什么语种翻译成什么？
感谢。 我们会需要产研、销售岗、校招岗都会有大量面试。 当然，最重要的是需要优质候选人。[愉快],恩恩，如果你有大量面试的时候，这个软件确实能省不少事的
"Joyce, I am Sue- 问向教育科技HR Hi Joyce, this is Sue. 这个软件Demo, 用户案例和报价单能发我吗？","hello, Sue 我来整理下哦 你大概是对哪一块比较感兴趣呢"
还好这个地图没那么着急 你可以正常速度做 本周大家都忙到头顶冒烟了,因为对内 我至少要个邮件的确认报价 才可以安排往下翻译
需要按技术给的名字 本周吧,明白了 我们花点时间去下载 改名字 引用：报价我在批；回复：这个估计大概什么时候能回复我？
EX20250524PIRIST,等于下载下来要改下名字是吗 要变成周末你发我的名字 才可以导入？ 我刚下载下来是这个名字 excel第一个
好的，有字幕红书过不了 只能搞个干净的 报价我在批,引用：我下午发你链接；回复：这个空了记得弄弄哈 谢谢
引用：列表是 730*390 详情是 786*524；对,你要么给我个网址和用户什么的 我去下载试试
原图不知道啥尺寸 技术公司下的 你忽略吧 肯定要重新下pdf,这个是我打开列表界面的 你们到时候中文版是要这个尺寸吗 这个很关键不然可能白做的哦 或者问下你们做微信图那个同事 列表是 730*390 详情是 786*524
是我之前下的 尺寸需要重新调 不是的,所以只是想确认下你们导出的时候 是原图已经改过尺寸了？ 你们直接拿到的原图就是jpg 还是说你们也是下载pdf后导出的图片
我ok了 您方便嘛,这个图 是54个里面之一吗 我们软件可以打开编辑 但是原图尺寸不对的
报价我们和她搞吧 好的，谢谢 好滴好滴,这肯定 你放心 我不会插手的 我们本来做这类供应商 有数的 有时候也是广告公司找我们 有时候是客户 这个规矩我懂 放心 说句放心的话 她也没问我价格 只是问我是不是在做 意思别耽误项目进程 这意思 哈哈
但我们没说找你翻译的地图,哦 那忽略我 我做好本职工作就可以了
她之前有说过啊，我们也可以找你干活 报价她的确会看得到,我没说不可以 我意思 我那天刚地图翻译交稿 准备排版 她就知道了[微笑] 要么是看到文件 要么是看到报价什么的 我今天突然想到的 没啥 哈哈
这倒是不全是 中文是一个澳洲的姑娘审核的 之后Renaiss看不看，不知道,因为那天我给你们做地图 她知道的 我想是不是你东西交给她的 上次三折页不也是要她看的嘛 最近她有个急的要我做 不过你这个地图 我们也同步进行 这周百分百可以交的
还是你去看salsify 可以呀 现在方便嘛,我弱弱问下 你们这个小程序对接的 也是Renaiss吗
因为官网上面目前的有419条航线，然后之前的excel里面只优先翻译了54条，余下的需要分批逐步上线。需要翻译主要有， 1. 每条航线的名称+概述 2. 如果该航线涉及新的port，需要翻译该port对应的名称及概述 提前格式与之前相同，方便技术统一上传,我晚点理下回复您 这会开会有点事情
还有一些要加的东西我发你 那个量不大,好的 我看看 客户那OK了 有说按照什么筛选不 这是关键
放大一点点吧 这个字大了不好看 这个地方有点挤的太紧了,大小对比了下 隔开到时候我们注意下 左边是之前的 右侧是加大了些
这份需要翻译，请报个价,好滴，稍等 文件中已有中文部分，就忽略了哦。 这边报价 英译中部分哈 剩余部分翻译为中文，费用：5026元，预计需5个工作日完成，今天安排，下周一提交文件 请发我个邮箱呗，具体报价内容发邮件好哇
引用：2-300份的话，肯定是300份划算；回复：好的 那就印300份 按你的建议。单叶正反面印 那时间来得及的 你那个报价单里加进去 一起更新就好[抱拳],报价和修改后的文件刚刚一起发邮件给您啦
哦哦 那太好了。这个不多，就需要2、3百份。你看看印多少比较经济。印刷成本和印刷量还是有关联的 另外这两天确认好内容，印刷需要多久？ 考虑下面国庆了,就是1个单片印，比2-4个单片印会不划算，最好么是可以几个单片一起印，性价比最高了 我记得你们印刷是用300g铜版纸，过光油的 2-300份的话，肯定是300份划算 引用：另外这两天确认好内容，印刷需要多久？ 考虑下面国庆了；回复：文件确认后，我们要打样，打样确认后一般几天就好了，如果节前能安排下去做印刷，节后2-3天肯定好了
Tiffany，你们做印刷吗？这个半导体的资料我们要印刷一些在展会发。,做到呀~~给我们HPP以前也印过的
这个许巍的好像不太好用，就是我说等我们新人来了，我们是有一些，就是我就看有一些其实我们是要做汉化的那到时候再跟你来联系确认，就是我想就一起去把他之前那些是。其实他还是说有需求，就是这个业务说我要做个完美的。但我们可能要有规划的看一看哪些市场我们有的资料，我们要前瞻性的把它做汉化。 就想跟新同事，可能要到年底了，然后那时候当然我也会空很多，你到时候反正。我肯定会把你的这个介绍给他。可能下面因为明年我们有一些新的行业的展会包括这个你可也是会去参加。那还有一些其他的那可能有一些就是针对那些新的市场，我们要前瞻性的把那个给梳理一下，好吧，谢谢，麻烦了。,可以呀，到时新人来了，我到阿科玛来拜访下，我们一起见个面聊吧
这里早上好，我刚给你发了那个邮件，就是那两页我们稍微做一点微调，就是非常小的微调，应该不会有很大的段落上的起伏。因为这个半导体行业非常专业，我又斟酌了好久，所以这个上面微调。你看一看就是我用PDF上标注了一下，这样就按照新的标注，做三种微调。完了你到时候发给我，好吧，谢谢。 另外我们那个展会现在暂时。可能会比较简单，不在就我们可能就弄个post，不是post就Q就我们就算了，很简短，因为最近特别忙。然后那个，叫什么琴，就原来像家属的那个做的另外的。我们就是做单位的这个。供应商他顺带给我们带过，所以也会比较简单，不会复杂。就很简单的把什么反馈信息，什么时间二维码一下就好，就很简单。所以我先暂时这边不麻烦你了，然后等到我们我们新人要过。估计要到年底过来，这个已经定了，就有合适人想到时候反正他来了，我到时候介绍他给你认识，因为。主要我是想下面我们有一些资料，其实很多要梳理一下。新的同事来，我让他给到一个。,好的，邮件已经收到了，标注很清晰的，我安排修改
"Angela,有东西要翻译，你帮我看下",好滴，稍候给你报价哈
谢谢韩瑾，我第一眼看起来图片和布局可以，但是字体要调一调。 等我收集领导的建议一并回复你。 引用：我的邮箱Angela@speed-asia.com；收到,引用：谢谢韩瑾，我第一眼看起来图片和布局可以，但是字体要调一调。 等我收集领导的建议一并回复你。；回复：好的我等您反馈
韩瑾，你给我一个邮箱，我把定稿的员工手册电子版发你，可以排版打样了。 封面设计有点慢啊,我今天会把2个版的设计稿发你，我们内部改了几轮 我的邮箱Angela@speed-asia.com
韩瑾，印刷及运送到公司，大概多长时间。,PDF确认后，安排打样，打样送到公司预计3天 打样确认后，安排印刷，印刷送到公司预计5-7天
Dear 韩瑾，感谢您的细致高效工作[强] 我会与团队尽快完成内容确认。,好的，有什么需要修改跟进的，随时找我
好的，打样是寄过来吗？寄出后请和我说下，我约主要领导的时间一起过下。[抱拳],预计明天可以寄出，周三可以收到
Hi 韩瑾，节前费用收到吗？,收到了，已安排打样了
嗯，纸张差不多，墨需要更清楚些。 我中午拿给董事长看看,印刷会更清晰的，打样是打印的 好的，有什么反馈随时找我
韩瑾，打样收到了，谢谢你的推进。 这个纸张和字号就是最终印刷的效果吗？感觉纸和墨都很轻啊[破涕为笑],纸张和字号是最终的效果 墨的话印刷会更清晰的 纸张是标准的80g
市面上主流是按照几号字体呢？,9-11
如果按照10号来排，全排完要多久呢？ 我要给领导心里预期,2-3天
"Hello, 今天能发出来吗？ 请问这个是多少字号的？原先是多少字号呢？",原先是9号，现在是10号
拜托啦，麻烦尽快哈[抱拳],报价发你啦
亲，又一个着急的翻译发你了 明天上午可以吗 不用翻 [OK],12:30左右发你报价哦
引用：好的，还是丹麦文么；对,审我们国内的工厂么 GMP审核要不要口译
亲，又发了6个需要加急处理的文件呢 确认了,收到，安排
我在开会，不方便邮件确认 我微信回复你确认哈,价格你看下哈，晚点你方便了回我下邮件 我先安排啦
嗯嗯，是呢，HMo太不容易了 整体还是有些影响的，但对我支持的这快业务倒是没啥太大影响[偷笑],那挺好的，我们帝斯曼哪块业务影响会大一些呀？
有两个已经批准了，其他还在注册过程中,这个项目也持续好多年了呢~~对了，美国加关税对我们帝斯曼有影响么
互相关照[拥抱][拥抱],[拥抱]我们HMOs里的这几个产品算是都在国内注册好了么
挺顺利的，多谢翻译支持哈[玫瑰],哈哈哈，应该哒~~感恩多年关照呢
我们突然收到个着急的翻译 你们可以帮忙加班翻译一下么,我去安排了 周一中午哈 报价周一发
明白明白，多谢[抱拳][抱拳],到时会给报价单，需要你们这边协助出PO，报价单上会有未税金额，和税率的
我了解的是千字中文字符,嗯嗯，明白，我们报价含税的哈
哦哦，明白了。那差不多[愉快][愉快],因为还有和国外RA团队合作的，所以我们这边就换算成以英文单词计算了
你们的单价要高一些，比我知道的公司,我们这个是按英文单词算的 按中文算的是155元/千中文字符
弱弱地问一下，单价是跟DSM的协议价吗？,是哒，一直是这个价格哈
嗯嗯，看到啦，谢谢[玫瑰][玫瑰][玫瑰],没问题的话，麻烦回复下邮件哈[爱心]
是我们这边的吗？,嗯嗯我们RA的Joycelyn，因为我们现在RA是支持不同BU的，不是ANH这边的
太好啦，越快越好，而且要保证质量，谢谢[玫瑰][玫瑰][玫瑰],嗯嗯，昨天刚给我们RA团队安排了另外一个项目，内容比今天的多蛮多的，我们差不多2周 不到的时间交
因为这次比较着急。。。,1周没有问题的
如果可能的话，不知道1周的时间可不可行？,是一个team的，内容少安排一个，多的话肯定是安排多个的
这么长时间啦？不好意思，我是入职不久的新员工[愉快][愉快] 还不到3个月,引用：咱们一般的工期是多长？我期望越早越好，因为我自己还需要过一遍的。；回复：这要看统计出来的字数，我们按字数计算工时的，一般一天2000-3000英文单词，但也会看项目的情况，内容多，我们一天的产出也会再多些 我们RA团队又扩大啦 日后请多关照
麻烦给您发的资料勿外传，谢谢[玫瑰][抱拳][抱拳] 引用：这些文件有期望的交稿时间么；咱们一般的工期是多长？我期望越早越好，因为我自己还需要过一遍的。,嗯嗯，放心我们和dsm合作20多年啦
我是Betty [玫瑰][玫瑰][玫瑰],您好Betty[愉快] 这些文件有期望的交稿时间么
发票信息，您那边都有吧？ 好的，明白,有的，您这边是开帝斯曼维生素这个抬头的 月底前如果还有其他要翻译的话，我们一般会合并在一张报价单上哒
还需要签合同吗？如何走流程? 还是我什么都不用管? [OK],订单收到后我会开发票给到你们的财务那边，需要您这边做个收货
我昨晚回复您邮件了，麻烦安排翻译吧，谢谢[抱拳][抱拳],正在安排中 谢谢啦
Tiffany，早上好[玫瑰][玫瑰][玫瑰],早上好Betty，收到邮件啦
好的，我还不知道如何操作呢，等你发给我后，我请教Daphne吧 [OK],嗯嗯，报价单上有我们的供应商号的
我这边暂时没有啦，谢谢,好的，那下周我把报价单发你，麻烦申请下PO
Tiffany，下午好[玫瑰][玫瑰][玫瑰] 请问翻译进展如何？什么时候能完成？谢谢[玫瑰][抱拳][抱拳],Betty下午好呀，差不多下班前可以好
嗯嗯你先发我，谢谢 费用是走剩余，确认报价或有什么问题，我再来和您沟通 谢谢 收到,嗯 我发你了 看下 有细节我们再随时沟通 那你看下文件是不是都要 费用要超之前剩余一些的 这个不知道今天大概能定吗 一、因为页数多 二、很多都是扫描件 排版比平时要多花些时间的
正常的翻译速度请问大概是啥，我看最少的一个文档27页，一般需要多久呢？ 好 感谢 不用的,好 费用不走她的剩余是吧 之前她问我剩余费用 说你会联系我来着 没事 我先发你
麻烦先给下报价和排期吧 图不用翻译,那要么我早上问你的那个 看下回复我 我就正式出报价给你们 引用：这个我看下；回复：这个 你大概想的交稿日期有不 因为字数太多 有1000多页
引用：[图片]；没错 引用：你看下 8是不是45页 9是刚才收到的 697页；是的,那就差2
对 这个是9号 2号和8号我看好像是没过去 那太好了 就差2了 不是这个,8有啊 是不是45页的 你看下 8是不是45页 9是刚才收到的 697页
好的 我再重新发 引用：[图片]；这个我看下,这是你之前想发的 9号文件是吗 这个页数很多很多
好 电话号码在邮件里有哈 没问题,报价单我发了哈
绝大多数都在word里 但可能有个别在出设计稿的时候会直接修改 我可以把两版文件都给你 另外中译英的成品有一个模板 需要套在那个模板里,发我看下 你说的模版是ai设计文件？ 还是什么
字数大约25-26K 正常大约多久时间 文件我发你邮箱 Word,肖美鹏 David 销售部 上海嘉赛信息科技发展有限公司(事必达) 021 5489 6060-183 13524025465 www.speed-asia.com market2@speed-asia.com 中国上海徐汇区肇嘉浜路1065号飞雕国际大厦1409室 什么格式的哈 大概5-6个工作日吧
我是墨尼克这边的HR 现在有一本员工手册需要中译英,您可以把文件发我 我来给到您具体的报价
1,中译英，这是一个项目前期：帮助对方做小红书推广的，后期还有一些需要翻译的 1、有部分是客户自己翻译的，可以看看语境意思，千万不要直译，让老外看得懂意思就行 2、如果文中提到小镇，指的是就是那个开在浦东的Outlets。佛罗伦萨小镇， 3、客户逻辑所有的小红书术语，请一定参考 好 前面发错了 我给翻译部的[捂脸]
戴维有两份，有应该是PDF原档，你是应该好转的，还有一份好像是没有的，你看一下。看一下邮件。,报价回复你了
你好david 翻译排版还做吗,什么样子的排版 英文手册替换中文？
封面250克复亚膜，内页128克,"稍等 我叫同事核算个价格给到您 就印英文版是吧 成品尺寸:210*297mm 展开尺寸:420*297mm 颜色:4C 页数:24P 纸张:封面250g哑粉纸,内页128g哑粉纸 装订:封面覆哑膜,骑马钉 份数:100、300份 报价:5900元/6600元（含税价，税点6%）"
先给个报价，我看看你们的价格 100本,达不到起印量哈 最低也是300份 价格其实是一样的 什么纸张之类的呢 封面 内页
引用：3个包组合+Logo，290/套哦；好的，了解。,【未知消息类型】 这是我家视频号哈~~欢迎浏览关注哈 聊天记录转发
不好意思，刚才接日本工厂打来的电话。你的建议不错，会考虑滴,没事没事 因为那2款出货多，反馈好
引用：[图片]；这单个多少钱呀,确认下哦，这个是50以内的
这周我要把合同签下来，决定了就那5样礼品，报价单的4样再加充电宝,好的 没问题 明天我们碰一下数量
引用：[文件]；特价不要忘记帮我申请呀[抱拳],带翻译功能的耳机，220元/台， 要下载一个APP用，我还没玩过，不知道好不好用[偷笑] 引用：特价不要忘记帮我申请呀[抱拳]；回复：一定滴， 邓我们数量定了，一起搞
这个小的多少钱呀 引用：这个小的多少钱呀；235元/台咩？,引用：这个我自留的，很好用， 235元/台；回复：235元/台
内胆容量有多少呀,这个规格哦，刚写的规格是另一款的 这个没有内胆哦， 直接矿泉水插上去的 瓶装水放上去就可以直接用了， 3秒出热水，干净安全 机器本身不存水滴
刚才的座机是你打的吗？麽有声音呀 我给你打吧,是我打的， 我也没听到声音，好奇怪 出差神器，3秒即热饮水机 这个我自留的，很好用， 235元/台
引用：付款这块帮忙看看可以哇， 先60%预付款，完成后再支付40%；这个你报价时到没和我说吗 我们是每月固定时间，15号和30号付款的,这个文件哈，合并报价单一起滴
你们有办过这种会议伐？ 粗略方案即可,这还真没有呢，要做多少钱的呢
先不急吧，节前送运费会贵吗,不会滴，一样哈 看你方便呗，安排送货
上周五尾款收到了吧？,周几安排送过来呀
引用：内页换稍薄一点点的105g，然后申请了个特殊折扣，可以做到21800元/1500本；上次是1500本，你按14.5元/本,对对，找到了 23年10月的 这次也是1500本哇 按这个先核算下今年的报价
如果上下相差5-6页，不加钱的话，要不你先给我报价呀 我们把签合同前的步骤先走一遍,先看看上次的价格哦
大概数据会在11月初给到我,好滴，没问题，那我们11月初沟通下
我11月上旬和你签合同吧 了解，我在让工厂帮我修订内容,嗯嗯，11月上旬呗
数量不影响交货时间吧？,差不多的，数量么就影响单价呀，哈哈
11/27周四这样送到我这,好呀，没问题 这次需要几份呢
工艺主要是看装订[抠鼻],打个样吧，文件改过，对一下比较保险~~
我问下这次也要打样吗？ 还是直接印啊？,我明后天不在公司，等周四回来查收文件哦
我会给你可编辑文件哦 现在还没拿到,报价发出了哈
发了你看看，今天给我个报价吧,只需要做附件1， 附件2的PPT是给我参考的对吧
"哈喽Alice, 我等下写个邮件给你，帮我看下一个文件的翻译价格给我个报价好伐 是公司brochure，然后之前有PPT可以做内容参考的，差不多的",哈喽，亲爱滴，好久没联系啦~~ 哈哈哈 等你邮件哈
我们这里得好多人看 大家都有不同的comments 当然哈哈哈,嗯嗯，一样滴，要公布的嘛，理解滴 有机会需要印刷的话，也可以找我报价哈~~
图表都留着吧，那部分的阅读负荷不大 医生也习惯看英文 但是图表你帮我在翻译好的文件里留着哦 也是要插在中间的,"好的,那我就截图放在原来的位置"
?已回邮件 大概什么时候能翻译完成呀 群里回吧,hello，梦南，我在客户那开会，刚看到你的消息 我想问问我们波科现在付款流程是咋样的
一般我们同步走拉 公司流程会比较慢 事情同步做 你们看下能不能接受?,好的，合同你们有版本吗？ 再给我个您公司开票信息吧
嗯嗯，就要那一小段就可以了,多谢支持，翻译报价如下： 文件：1-Diploma-翻译.pdf 2-Police_Certificate-翻译.pdf 页数：7 翻译语种：俄译中 数量：1428个中文字符 单价：450元/千中文字符 合计金额（含6%税）：RMB643.00 完成日期：2个工作日
一家美资的广告公司，国内刚刚起步呢 这两个哈,俄译中翻译费：643元 2个工作日完成
我来个客户通融下,一起也就周三吧 明天上午就要安排下去了
引用：General-Maintenance-Manual_EN_2025 这个文件多；这个最重要的 一起要哪天,其他文件下周一 引用：人民币吧；回复：对
那你要哪天能好？ 引用：10956；人民币吧,General-Maintenance-Manual_EN_2025，这个文件下周三
之前其他项目做过的 他们会有对比的,10956 General-Maintenance-Manual_EN_2025 这个文件多 大头在这个文件里 下周一来不及
先报价过来吧 辛苦了 大概多少啊,报价也英文对不？ 我看cc了老外 费用不少哦
但我最近遇到的不行诶 采购都发话了,3M很多 部门哈 很多样本 引用：采购都发话了；回复：说啥？他不管link找谁做吧 只是说只和link合作 link也是找别人做的 又不是自己印刷的
不能制定供应商让link去谈 台湾人,"引用：[微笑][微笑]我们开口也不管用；回复：肯定管用的 之前我听说有的还是之前的供应商 只是签单和link 这是一条引用/回复消息： ""David： 之前对接你们的不是 Mercy嘛"" ------ 他不做了？ 少数情况 听说的"
[微笑][微笑]我们开口也不管用,今天这人好像不是大陆口音？
那你俩可以聊聊[偷笑][偷笑],好像不行 之前我聊过 要你们开口[微笑] 之前对接你们的不是 Mercy嘛
我两次找他印刷手册 手册数量都搞错了[破涕为笑][破涕为笑] 礼品也一般,按照道理你们的印刷是大头了对吧 那么多本 且你们的手册都是标准化常规的 很好报价 印刷我们自己也做 我们懂 他们好像还是做礼品多些 我看他们网站 引用：手册数量都搞错了[破涕为笑][破涕为笑]；回复：哈哈 那他们要吃进吧 其实他们也是找外面的供应商做 比如外地什么的 仗着可能客户多 然后去压供应商 可能不一定比最早3M原始供应商便宜 但是global定的没办法 反正我听用户说没享受到 和之前一样的体验 link如果收费做这个 这个机会就给我呗 哈哈 免费我也抢不到人家的活
平白多一笔费用,对啊 再说好像速度很一般 据我听说
现在都通过他报价,国内供应商地位别提了
原本是maree啊 那这个也是maree给你们下的po单吗,我问下来 是因为去年maree帮忙代班一段是因为你们同事jiayi休假了 说可能最终用于展会的还是你们负责 去年找我也是因为
[破涕为笑][破涕为笑]设计不可比拟 要看审美的吧,我知道你们正常设计其实不止这个价格，但我们这个100分是怎么来的呢？因为我们之前不是最早和你们做翻译，因为很多这种翻译完之后，可能我们会把它排成中文版。这种印刷就包括你现在拿到的所有kate look，可能它最原始的时候是英文的，然后我们会把它排成中文版。当然可能会有删有减，或者是有些基础的样式改变的，我们之前是针对这个来的。 然后后来因为这门店行比较熟，然后会有些东西他就是老板可能会做一些修改，或者是一些这样弄的，然后我们就这样操作的。 当然了，有些那种修改，包括数量比较少的那我们肯定就是几页转成这一页。比如说根本我比如说修改一页是多少钱呢？我们就几页转成一页，变成这个130。反正其实我们申请这个费用之后，就每次比如说他们找我们做项目，我都会告诉他这个实际费用是多少钱。你觉得OK吗？OK吗？我们就开始做，然后从里面抵扣。然后是去年马瑞又拉了一个群，然后说有分东西要做的，但是后来一直没做。然后今天早上的他自己主动给我打电话，他说马瑞不负责这一块了，他说他要做一个。预算PO赶紧开出来，要算在这个月的，大概你们有记录预算的问题。然后他叫我出一个报价单，然后说抄送给我以为你知道这个估值的。
那我看你有400P甚至是拿400配置吗？,130*400 因为采购那里我们这块设定就是130/P 他要52000 不就52000/130=400P
那所以我理解就是那个手册的设计费是吗？那你这个是有包括印刷吗？,大概叫我做5万2左右 （不含税5万） 不包括 我们写的是排版设计明细
"David, 我收到你两个报价，然后Victor确认了一个报价是52000的，这个报价是什么什么东西？我看你说报价里面就只有那个金额。",之前他找我做文件的制版 或者 制版修改的 说要先做个预算 算在Q1里面的
然后报价记得出,sherry 另一个是sales guide 这是三页 单数 到时候你要印刷之类的吗 我记得上次这类sales guide是印刷的 sherry她特别说什么吗
po下了我就拒绝你了,[捂脸] 那等我哈 明天我先叫其他同事申请看看
戴维的话说，你为什么不直接找那个接你？他还说，你不只是在找他呢。 然后你你这样子，你明天发一份邮件，说明一下情况。然后我把这个情况我截图给经理，我要我要我我要让他知道我这边从你得到的消息。 dui,医生，就因为我。这个我也不太好直接找他，因为他没有告诉我是不可以，因为只是说听用户反馈，当然我明天准备后给他写个邮件。 就是我也不会说就是贬低人家别的供应商做的怎么样。因为我所得到的这些消息肯定都是用户告诉我的，要么就是我自己瞎编的。当然我明天会跟他写个邮件，我问一下经理大概什么情况。我就说听用户反馈那个叫什么，最近机油有问题。然后我问问他他怎么回复？因为今天按照他今天问到用户的那个事情，回答用户了，用他回答用户就是说现在问题解决了。 还有一种，这里面我们认识我和他，我们和他认识这么多年了，我知道他的这个性格，因为他就是没事，我找他我不是挨骂吗？你每次采购的就是希望大家都没事，我无所谓。他只是说今天他这样说，我没找他，我但实际上他不一定希望我找他，我找他肯定就是有事情的，都是要么就是续签协议的，或者是这个疑难或者那个疑难的单子要处理的。不然的话我一般人也不会找他，对不对？因为大家都合作的很顺利，而且。我今天得到这个消息，那个叫什么？说是菲律宾那边看了，我也觉得挺意外的。 没关系，我明天会主动联系一下他，因为他叫我联系一下。那我就联系一下他，对不对，那也便于以后。我只是想跟你我今天没有跟你确认清楚，就是你反正后面这一笔，其实你还没有申请，你只是像那个叫什么燕瑞姐发了询价，其实你下午发了询价，我也给你报价单的，然后姐你也发了询价，是这意思吗？因为PO还没有下发，还没有到下的这一步。从采购的逻辑上来讲的话，你们哪家供应商都可以用是你们用户自己的选择。当然首先这家供应商是采购认可的，如果采购不认可，就是哪怕他再便宜或者再怎么样，你们也不可以用。
因为他们想Q1申请掉 行了我知道了 明天看看怎么处理,好的谢谢 我也出报价单了[微笑]哈哈。且需求也发我了。 其实只是kv那一单，因为他。实际上他没有做，因为他文件没有定稿。如果文件定稿了，其实你就知道内部姐到底做了啥情况。
原来我还是先跟你说的啊,因为不是四月份才开头。三月份没有这个故事，三月份你不是也帮我申请过PO的，就VC的账你记得吧？有一个应该是五万多，53000个是52000的。有，就是你帮忙申请的，之前是以为有领导申请的。后来，说这个。这个活应该是你的，然后有人，他也帮我申请了别的，就是那个叫什么？翻译排版的。他那边的是那个叫什么，好像是那个。要不要看一下？太给力了。 然后你跟我说了之后，我就想到了，因为4月1号还有个同事问过我，因为大家都合作很多年了。我就问他，因为他那个不急，他说本来他就是。本来三月份就说要申请的，后来他忘了。后来4月1号的时候他找我，他说他已经寄上去了，他可能说这一个星期会出PO我就问他了，我说你PO申请了吗？他说有的，他说有这个故事的。但是因为后来他就找了监理，然后说请监理发了邮件，因为他就说没问题了，因为他讲没问题了，他就没告诉我，他就等着PO这个叫我等着PO的。 当然了也谢谢你告诉我，因为我说，就是因为其他的很多人都是我们先。怎么讲呢？这话说的采购肯定听的不高兴的。就是可能我们都是先干活的，或者是一起结的，或者可能就是为了某个项目可能预申请一批之类的。因为翻译进来你也知道，确实比较小，就单笔申请要累死了我。
那也满奇怪的，你都独家了，菲律宾还拒了,因为这个故事应该是要知道的，非要以前现在是负责ADD。他以前不是负责那个叫什么AAD和ASD，他和你们另外一个同事就是听他喊，他不是对调的。后来tina现在负责mark店去了。 不，我刚刚我可能描述的不我讲是中国，因为leverage是叫什么，就是global推的全球供应商。因为他就是呃比如中国了、韩国、什么法国、德国，它是全球供应商，各个语种都可以做的。但是因为同事他们也做过比较，一是价格，二是熟悉的程度，三是一个响应的速度。 因为那个叫什么，就像你的印刷一样，印刷不是现在都是link，对不对？以前中国有很多供应商的。看到现在，立刻你们。可你们因为你们IPP比较大，没有做的那个样本手册比较多。可能服务里面还好，但是我的理解他们的报价什么之类的，其实也不是很快。因为我上次看你转的邮件，按道理印刷这个报价，那很快的。 因为我们前年就是能够在推荐这个供应商的情况的时候，就当时我们和监理是谈过的。一我们和你们合作二十几年了，当然我们在价格上新的强势线上价格也进行了一点让步。虽然让步福利不大，但是我们本身这个价格最近他们谈的就蛮低的。所以说中国先保留一家，然后正常合作。因为很多你们还是有一些logo本地的供应商，可能合作起来大家比较顺手。 包括你们那个IDD，几乎所有的那个地方。像凯文，包括新锐，包括VNT，包括叫什么TT他们包括像刘璐毅。包括微信华。因为他们都有微信的，他们都是一直跟我合作的。所以说你那天跟我讲了这个故事以后，我特别的惊讶我。 其实我的理解，你那个叫什么KO的那笔订单，你应该我不知道这个价格什么之类的，应该他说要是比我们贵的。你不是说KO那边订单PO已经出了吗？但是现在这个还没有吗？
这我指的是之前不是我这个单子他们寄的时候，然后经理也同意，让我找那个来。然后后来又为什么给你找菲律宾之后就又ok了。,因为你那个单子被拒了之后。天力现在也不清楚什么情况，因为我今天不是发个截屏给你的，别的组的话有同样的情况。因为别的组可能因为你们以前可能不怎么操作，我们翻译这个PO，因为别的组知道那个leverage是什么情况。然后的话他就问了一下天力，天力说是可以合作的，他说菲律宾搞错了，然后的话就是。他发的邮件。 然后那个叫什么？后来今天晚上的时候，我们有一直合作的AD的同事，因为他又找我做东西，我就把这故事讲了一下。我说因为他那个还没做，我说别以防万一。我说万一我安排做了，到时候你给不了TO大家都很难做。后来他不就是问了建立吗？建立后来不是我刚才发的那个截屏，你有看到吗？建立回今天晚上六点多，他就是。5点到6点回答的，他说现在可以出货了，没问题的，他说他们内部解释清楚了。 因为以前那个中国翻译有好几家。因为从前天开始，因为我和建立那边沟通的，我们是续签了长期协议的。现在中国的翻译公司就没有钱。 就像以前你们，所以说我说他做不做制版的，有可能他现在是做制版的。但是他对你们那个功底或者自己什么的要求，我的理解好像他应该是没有做过他的。他只是说他可能现在因为建立说别的供应商可以做这个，他可能现在也加入了这个东西，但具体的要求。应该可能没有比我更清楚了。 你想，不然那个叫什么，你记得吧？3月20几号的时候，不是也出了一笔五万多的PO给我们，不然不是我们合作，合作那么长时间，他也不会这么信任我们的。因为之前你们所有ITD的翻译都是我们做到了，不是说那个叫ITD，包括其他组AADASD。
那你知道啥情况吗,就这是别的同事听说指定这家，然后问为什么，才问Jenny的。出面协调的 一首先价格对比你应该清楚耶 二报价你收到了吗？他们回复不快吧
但是我需求发给lion了呀 lion吗,po走了？ 之前需求不也发我了吗 这个翻译我其实完成了。所以才追问你的。 我们私下说啊，之前都是内部确认价格没问题，邮件回复的，po同步的 当然了这不是大问题，这次哪呢知道有这个故事[捂脸] 我想着是以后 之前你们找文件什么的，我应该极其配合吧。 我也不诋毁别的供应商。但是你们有些组用过的，极其后悔。拖。这也是事实
她说你没找过他？,上面图片用户发她的，今天晚上
那要让jenny确认的 他要和菲律宾那边沟通的 你有和她打过招呼吗？,今天晚上刚问的 不然我也不好问你，我知道要是采购定的。
